L,R
Cxcl12,Ackr3
Cxcl11,Ackr3
Cxcl12,Cxcr3
Cxcl11,Cxcr3
Ccl19,Cxcr3
Ccl19,Cxcr3
CR974586.2,Cxcr3
CR974586.4,Cxcr3
Ccl20,Cxcr3
Cxcl10,Cxcr3
Cxcl9,Cxcr3
Cxcl12,Cxcr4
Cxcl12,Dpp4
Cxcl11,Dpp4
Cxcl10,Dpp4
Cxcl9,Dpp4
Ccl11,Dpp4
Gcg,Dpp4
Nppb,Dpp4
Vip,Dpp4
Gip,Dpp4
Ccl22,Dpp4
Adcyap1,Dpp4
Ccl19,Ccrl2
Ccl19,Ccrl2
CR974586.2,Ccrl2
CR974586.4,Ccrl2
Ccl19,Ackr4
Ccl19,Ackr4
CR974586.2,Ackr4
CR974586.4,Ackr4
Gm13304,Ackr4
Ccl21d,Ackr4
Ccl21c,Ackr4
Ccl21a,Ackr4
Ccl21a,Ackr4
Ccl21b,Ackr4
Ccl21b,Ackr4
Gm10591,Ackr4
Ccl21b,Ackr4
Cxcl13,Ackr4
Ccl19,Ccr7
Ccl19,Ccr7
CR974586.2,Ccr7
CR974586.4,Ccr7
Gm13304,Ccr7
Ccl21d,Ccr7
Ccl21c,Ccr7
Ccl21a,Ccr7
Ccl21a,Ccr7
Ccl21b,Ccr7
Ccl21b,Ccr7
Gm10591,Ccr7
Ccl21b,Ccr7
Ccl20,Ccr6
Nrg1,Ms4a4a
Ccl5,Ccr1
Ccl5,Ccr1l1
Ccl3,Ccr1
Ccl3,Ccr1l1
Ccl7,Ccr1
Ccl7,Ccr1l1
Ccl3,Ccr1
Ccl3,Ccr1l1
Ccl8,Ccr1
Ccl8,Ccr1l1
Ccl12,Ccr1
Ccl12,Ccr1l1
Ccl6,Ccr1
Ccl6,Ccr1l1
Ccl9,Ccr1
Ccl9,Ccr1l1
Ccl6,Ccr1
Ccl6,Ccr1l1
Ccl9,Ccr1
Ccl9,Ccr1l1
Ccl5,Ccr3
Ccl11,Ccr3
Ccl7,Ccr3
Ccl8,Ccr3
Ccl12,Ccr3
Ccl6,Ccr3
Ccl9,Ccr3
Ccl24,Ccr3
Ccl28,Ccr3
Ccl5,Ackr2
Ccl7,Ackr2
Ccl3,Ackr2
Ccl8,Ackr2
Ccl12,Ackr2
Ccl4,Ackr2
Ccl5,Gpr75
Cdh1,Itgb7
Cdh1,Itgae
Cdh1,Mafa
Ccl5,Ackr1
Ccl22,Ccr4
Ccl17,Ccr4
Ccl5,Ccr5
Ccl7,Ccr5
Ccl3,Ccr5
Ccl8,Ccr5
Ccl12,Ccr5
Fn1,Itgb1
Fn1,Itgav
Fn1,Itgb3
Fn1,Itga2b
Fn1,Itgb7
Fn1,Itga4
Fn1,Itga2
Fn1,Itga3
Fn1,Itga8
Fn1,Itga10
Fn1,Itga11
Fn1,Itga5
Fn1,Itgb5
Fbn1,Itgb1
Fbn1,Itga5
C3,Itgb2
C3,Itgam
C3,Gm49368
Nrg1,Egfr
Tgfa,Egfr
Hbegf,Egfr
Egf,Egfr
Btc,Egfr
Ereg,Egfr
Areg,Egfr
Epgn,Egfr
Fasl,Tnfrsf1a
Hbegf,Cd44
Spp1,Cd44
Cd44,Sele
F2,Itgav
F2,Itgb3
F2,Itga2b
F2,Gp1ba
Il5,Csf2rb
Il5,Csf2rb2
Il5,Il5ra
Cxcl5,Cxcr1
Ppbp,Cxcr2
Cxcl5,Cxcr2
Plg,Itga2b
Plg,Itgb3
Vcam1,Itgb7
Vcam1,Itga4
Vcam1,Itgb2
Vcam1,Itgad
Vcam1,Itgb1
Vcam1,Itga9
Gh,Prlr
Gh,Gm21973
Prl,Prlr
Prl,Gm21973
Csf1,Csf1r
Csf3,Csf1r
Csf2,Csf1r
Il34,Csf1r
Col1a1,Itgb1
Col1a1,Itga2
Col1a1,Itga10
Col1a1,Itga11
Col1a1,Itga1
Tgfb1,Egfr
Tgfb1,Itgav
Tgfb1,Itgb6
Tgfb1,Tgfbr1
Tgfb1,Tgfbr2
Tgfb1,Acvr1
Tgfb1,Tgfbr3
Ttr,Ager
Il1b,Il1r2
Il1b,Il1rap
Il1b,Il1r1
App,Cd74
Vegfa,Nrp2
Vegfa,Kdr
Vegfa,Flt1
Tnf,Fas
Fasl,Fas
Il10,Il10ra
Il10,Il10rb
Il10,Gm21970
Ccl2,Ackr1
Ccl2,Ackr2
Ulbp1,Klrk1
Ulbp1,Hcst
Tnfsf10,Ripk1
Il1a,Il1r2
Il1a,Il1rap
Il1a,Il1r1
Col4a1,Itgb1
Col4a1,Itga2
Col4a1,Itga10
Col4a1,Itga11
Col4a1,Itga1
Il2,Il2rb
Il2,Il2rg
Il2,Gm20489
Il2,Il2ra
Selp,Cd34
F10,Itgb2
F10,Itgam
F10,Gm49368
Col4a2,Itgb1
Col4a2,Itga2
Col4a2,Itga10
Col4a2,Itga11
Col4a2,Itga1
Cd209a,Ceacam10
Cd209a,Ceacam2
Cd209a,Ceacam1
Cd209d,Ceacam10
Cd209d,Ceacam2
Cd209d,Ceacam1
Cd209c,Ceacam10
Cd209c,Ceacam2
Cd209c,Ceacam1
Cd209e,Ceacam10
Cd209e,Ceacam2
Cd209e,Ceacam1
Cd209b,Ceacam10
Cd209b,Ceacam2
Cd209b,Ceacam1
Ccl11,Ccr2
Ccl7,Ccr2
Ccl8,Ccr2
Ccl12,Ccr2
Ccl24,Ccr2
Ccl2,Ccr2
Tnfsf13b,Cd40
Cd40lg,Cd40
Tnf,Tnfrsf1a
Grn,Tnfrsf1a
Lta,Tnfrsf1a
Ntf3,Ngfr
Ngf,Ngfr
Ntf5,Ngfr
Bdnf,Ngfr
Lck,Cd8a
Lck,Cd8b1
Cd38,Pecam1
Tnf,Ripk1
Lta,Ripk1
Ccn3,Notch1
Notch1,Jag1
Notch1,Dll1
Rif1,Notch1
Notch1,Dlk1
Jag2,Notch1
Notch1,Dll3
Dll4,Notch1
Hc,C5ar1
Mif,Cd74
Epha8,Efna3
Epha8,Efna5
Efna1,Epha8
Epha8,Efna4
Ccl11,Ackr2
Gcg,Glp2r
Gcg,Ide
Ccl3,Ide
Igf2,Ide
Nppb,Npr1
Nppa,Npr1
Nppb,Npr3
Nppc,Npr3
Ostn,Npr3
Nppb,Npr2
Nppc,Npr2
Ghrh,Vipr1
Vip,Vipr1
Sct,Vipr1
Ngf,Ntrk1
Cd22,Ptprc
Epo,Epor
Cd244a,Cd48
Mrc1,Ptprc
Pyy,Dpp4
Adcyap1,Sctr
Sct,Sctr
Adcyap1,Adcyap1r1
Pros1,Axl
Gas6,Axl
Gas6,Mertk
Hgf,Met
Vtn,Itgb1
Vtn,Itgav
Vtn,Itgb3
Vtn,Itga2b
Cd226,Pvr
Prr3,Pvr
Prr3,Tigit
Pvr,Cd96
Csf3,Csf3r
Csf2,Csf3r
Col8a1,Itgb1
Col8a1,Itga2
Col8a1,Itga10
Col8a1,Itga11
Col8a1,Itga1
Ntf5,Ntrk2
Ghrl,Tbxa2r
Adora1,Entpd1
Nmu,Nmur1
Nmu,Nmur2
Tnfsf12,Tnfrsf12a
Plxnb2,Sema4c
Ptn,Plxnb2
Plxnb2,Sema4d
Plxnb2,Sema4g
Epha2,Efna3
Epha2,Efna5
Efna1,Epha2
Epha2,Efna4
Ucn,Crhr2
Ucn2,Crhr2
Ucn3,Crhr2
Tnfsf14,Tnfrsf14
Mif,Tnfrsf14
Lta,Tnfrsf14
Tnfsf13,Tnfrsf14
Btla,Tnfrsf14
Tnfrsf14,Cd160
Col14a1,Itgb1
Col14a1,Itga2
Col14a1,Itga10
Col14a1,Itga11
Col14a1,Itga1
Wnt1,Cd36
Ttr,Ngfr
Tslp,Il7r
Tslp,Crlf2
Ephb4,Efnb1
Epo,Ephb4
Efnb2,Ephb4
Efnb3,Ephb4
Bdnf,F11r
Lamc1,Itgav
Lamc1,Itgb3
Lamc1,Itgb1
Lamc1,Itga2
Lamc1,Itga6
Lamc1,Itga7
Osm,Lifr
Osm,Il6st
Osm,Osmr
Il15,Il2rb
Il15,Il2rg
Il15,Gm20489
Ntf3,Ntrk3
Col4a6,Itgb1
Col4a6,Itga2
Col4a6,Itga10
Col4a6,Itga11
Col4a6,Itga1
Il7,Il7r
Il7,Il2rg
Il7,Gm20489
Dsg2,Dsc2
Igf2,Igf2r
Notch2,Jag1
Notch2,Dlk1
Jag2,Notch2
Notch2,Dll3
Dll4,Notch2
Il24,Notch2
Copa,Sort1
Wnt1,Ror2
Wnt5a,Fzd5
Wnt7a,Fzd5
Psap,Gpr37
Mst1,Mst1r
Tnf,Tnfrsf1b
Grn,Tnfrsf1b
Lta,Tnfrsf1b
Dsg1c,Dsc2
Dsg1b,Dsc2
Dsg1a,Dsc2
Icam1,Itgb2
Icam1,Itgam
Icam1,Gm49368
Icam1,Spn
Icam1,Itgal
Bdnf,Ntrk2
